level_index,damage_multiplier,damage_stones,effect_wave_qty,effect_wave_stones,cooldown_s,cooldown_stones,source_ref
0,2,0,1,0,300,0,internalized_source_snapshot
1,3,5,2,200,290,8,internalized_source_snapshot
2,5,11,3,500,280,24,internalized_source_snapshot
3,9,17,4,850,270,40,internalized_source_snapshot
4,14,23,5,1400,260,56,internalized_source_snapshot
5,22,29,,,250,72,internalized_source_snapshot
6,32,35,,,240,88,internalized_source_snapshot
7,46,41,,,230,104,internalized_source_snapshot
8,63,47,,,220,120,internalized_source_snapshot
9,85,53,,,210,136,internalized_source_snapshot
10,113,61,,,200,152,internalized_source_snapshot
11,148,71,,,190,168,internalized_source_snapshot
12,191,84,,,180,184,internalized_source_snapshot
13,244,100,,,170,200,internalized_source_snapshot
14,309,120,,,160,216,internalized_source_snapshot
15,387,144,,,150,232,internalized_source_snapshot
16,482,174,,,140,248,internalized_source_snapshot
17,596,210,,,130,264,internalized_source_snapshot
18,723,254,,,120,280,internalized_source_snapshot
19,877,308,,,110,346,internalized_source_snapshot
20,1064,374,,,100,512,internalized_source_snapshot
21,1290,452,,,90,688,internalized_source_snapshot
22,1569,558,,,80,874,internalized_source_snapshot
23,1916,694,,,70,1070,internalized_source_snapshot
24,2356,880,,,60,1276,internalized_source_snapshot
25,2919,1126,,,50,1492,internalized_source_snapshot
