level_index,multiplier,multiplier_stones,duration_s,duration_stones,cooldown_s,cooldown_stones,source_ref
0,5.0,0,15,0,300,0,internalized_source_snapshot
1,5.8,5,16,5,290,10,internalized_source_snapshot
2,6.6,13,17,14,280,28,internalized_source_snapshot
3,7.4,22,18,23,270,46,internalized_source_snapshot
4,8.2,32,19,32,260,64,internalized_source_snapshot
5,9.0,43,20,41,250,82,internalized_source_snapshot
6,9.8,55,21,50,240,100,internalized_source_snapshot
7,10.6,68,22,59,230,118,internalized_source_snapshot
8,11.4,82,23,68,220,136,internalized_source_snapshot
9,12.2,98,24,77,210,154,internalized_source_snapshot
10,13.0,116,25,87,200,172,internalized_source_snapshot
11,13.8,138,26,98,190,190,internalized_source_snapshot
12,14.6,162,27,110,180,208,internalized_source_snapshot
13,15.4,250,28,123,170,226,internalized_source_snapshot
14,16.2,350,29,137,160,244,internalized_source_snapshot
15,17.0,500,30,152,150,262,internalized_source_snapshot
16,17.8,700,31,168,140,300,internalized_source_snapshot
17,18.6,950,32,185,130,368,internalized_source_snapshot
18,19.4,1250,33,203,120,476,internalized_source_snapshot
19,20.2,1600,34,222,110,644,internalized_source_snapshot
20,21.0,2000,35,242,100,872,internalized_source_snapshot
