bonus_level_index,bonus_x,bonus_stones,angle_deg,angle_stones,quantity,quantity_stones,source_ref,notes
0,8.0,0,30,0,1,0,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
1,9.4,5,31,5,2,375,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
2,10.8,13,32,16,3,850,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
3,12.2,21,33,27,4,2500,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
4,13.6,30,34,38,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
5,15.0,40,35,49,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
6,16.4,52,36,60,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
7,17.8,65,37,71,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
8,19.2,80,38,82,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
9,20.6,95,39,93,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
10,22.0,112,40,104,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
11,23.4,133,41,115,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
12,24.8,150,42,126,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
13,26.2,180,43,137,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
14,27.6,220,44,148,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
15,29.0,280,45,159,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
16,30.4,320,46,170,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
17,31.8,360,47,181,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
18,33.2,420,48,192,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
19,34.6,500,49,203,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
20,36.0,600,50,214,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
21,37.4,720,51,225,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
22,38.8,850,52,236,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
23,40.2,1000,53,247,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
24,41.6,1175,54,258,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
25,43.0,1400,55,269,,,internalized_source_snapshot,quantity values only visible for first four states in captured excerpt
,,,56,280,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,57,291,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,58,302,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,59,313,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,60,324,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,61,337,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,62,352,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,63,369,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,64,388,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,65,409,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,66,432,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,67,457,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,68,484,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,69,513,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,70,544,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,71,577,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,72,612,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,73,649,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,74,688,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,75,729,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,76,772,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,77,817,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,78,864,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,79,913,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,80,964,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,81,1017,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,82,1072,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,83,1129,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,84,1188,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
,,,85,1249,,,internalized_source_snapshot,angle continuation only; bonus ladder already ended
