uw_name,level_index,value,cost,provenance,plus_track_name
Chain Lightning,0,,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,1,0.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,2,1.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,3,2.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,4,3.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,5,4.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,6,5.0,6,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,7,6.0,7,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,8,7.0,8,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,9,8.0,9,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,10,9.0,10,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,11,10.0,11,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,12,11.0,12,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,13,,13,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,14,,14,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,15,,15,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,16,,16,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,17,,17,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,18,,18,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,19,,19,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,20,,20,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,21,,21,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,22,,22,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,23,,23,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,24,,24,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,25,,25,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,26,,26,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,27,,27,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,28,,28,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,29,,29,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,30,,30,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Chain Lightning,31,,31,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Smite
Smart Missiles,0,,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,1,0.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,2,1.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,3,2.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,4,3.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,5,4.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,6,5.0,6,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,7,6.0,7,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,8,7.0,8,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,9,8.0,9,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,10,9.0,10,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,11,10.0,11,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,12,11.0,12,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,13,,13,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,14,,14,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,15,,15,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,16,,16,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,17,,17,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
