entity_id,canonical_name,contributor_family,applies_to,operation,primary_surface,status,note
UW_BLACK_HOLE,Black Hole,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_BLACK_HOLE,Black Hole,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_BLACK_HOLE,Black Hole,lab,named_uw_lab_tracks,level_lookup,kb/ultimate-weapons/notes/ultimate-weapon-lab-ladders.md,active_supporting,Named lab ladders are bundled for these weapons.
UW_CHAIN_LIGHTNING,Chain Lightning,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_CHAIN_LIGHTNING,Chain Lightning,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_CHRONO_FIELD,Chrono Field,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_CHRONO_FIELD,Chrono Field,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_DEATH_WAVE,Death Wave,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_DEATH_WAVE,Death Wave,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_DEATH_WAVE,Death Wave,uw_upgrade,cooldown_seconds,step_lookup,kb/ultimate-weapons/tables/ultimate-weapon-cooldown-step-costs.csv,active,Cooldown step table is a separate canonical ladder.
UW_DEATH_WAVE,Death Wave,lab,named_uw_lab_tracks,level_lookup,kb/ultimate-weapons/notes/ultimate-weapon-lab-ladders.md,active_supporting,Named lab ladders are bundled for these weapons.
UW_GOLDEN_TOWER,Golden Tower,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_GOLDEN_TOWER,Golden Tower,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_GOLDEN_TOWER,Golden Tower,uw_upgrade,cooldown_seconds,step_lookup,kb/ultimate-weapons/tables/ultimate-weapon-cooldown-step-costs.csv,active,Cooldown step table is a separate canonical ladder.
UW_GOLDEN_TOWER,Golden Tower,lab,named_uw_lab_tracks,level_lookup,kb/ultimate-weapons/notes/ultimate-weapon-lab-ladders.md,active_supporting,Named lab ladders are bundled for these weapons.
UW_INNER_LAND_MINES,Inner Land Mines,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_INNER_LAND_MINES,Inner Land Mines,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_POISON_SWAMP,Poison Swamp,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_POISON_SWAMP,Poison Swamp,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_SMART_MISSILES,Smart Missiles,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_SMART_MISSILES,Smart Missiles,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_SPOTLIGHT,Spotlight,uw_upgrade,named_uw_base_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active,Base stone upgrades for named UW.
UW_SPOTLIGHT,Spotlight,uw_plus,named_uw_plus_tracks,level_lookup,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active,UW+ tracks routed separately from base upgrades.
UW_SPOTLIGHT,Spotlight,lab,named_uw_lab_tracks,level_lookup,kb/ultimate-weapons/notes/ultimate-weapon-lab-ladders.md,active_supporting,Named lab ladders are bundled for these weapons.
