level,time,cost,value_multiplier
1,3d 5h 46m 39s,1000000000,1.1
2,3d 15h 6m 39s,1500000000,1.2
3,4d 1h 33m 51s,2250000000,1.3
4,4d 13h 16m 19s,3380000000,1.4
5,5d 2h 23m 5s,5060000000,1.5
6,5d 17h 4m 15s,7590000000,1.6
7,6d 9h 31m 10s,11390000000,1.7
8,7d 3h 56m 30s,17090000000,1.8
9,8d 0h 34m 29s,25630000000,1.9
10,8d 23h 41m 2s,38440000000,2.0
11,10d 1h 33m 57s,57670000000,2.1
12,11d 6h 33m 13s,86500000000,2.2
13,12d 15h 1m 13s,129750000000,2.3
14,14d 3h 22m 58s,194620000000,2.4
15,15d 20h 6m 31s,291930000000,2.5
16,17d 17h 43m 18s,437890000000,2.6
17,19d 20h 48m 30s,656840000000,2.7
18,22d 6h 1m 31s,985260000000,2.8
19,24d 22h 6m 30s,1480000000000,2.9
20,27d 21h 52m 53s,2220000000000,3.0
