level,time,cost,value_additive_bonus
1,1d 16h 0m,1000000,0.15
2,2d 0h 21m,1310000,0.3
3,2d 8h 53m,1850000,0.45
4,2d 17h 54m,3550000,0.6
5,3d 3h 49m,8500000,0.75
6,3d 15h 6m,20290000,0.9
7,4d 4h 17m,44330000,1.05
8,4d 19h 58m,88160000,1.2
9,5d 14h 49m,161660000,1.35
10,6d 13h 31m,277370000,1.5
11,7d 16h 49m,450680000,1.65
12,9d 1h 30m,700090000,1.8
13,10d 16h 23m,1050000000,1.95
14,12d 14h 21m,1520000000,2.1
15,14d 20h 18m,2140000000,2.25
16,17d 11h 9m,2950000000,2.4
17,20d 11h 54m,3980000000,2.55
18,23d 23h 32m,5270000000,2.7
19,27d 23h 6m,6880000000,2.85
20,32d 11h 40m,8840000000,3.0
21,37d 14h 19m,11220000000,3.15
22,43d 8h 12m,14080000000,3.3
23,49d 18h 27m,17480000000,3.45
24,56d 22h 16m,21490000000,3.6
25,64d 20h 50m,26190000000,3.75
