level_index,size_m,size_stones,duration_s,duration_stones,cooldown_s,cooldown_stones,source_ref
0,30.0,0.0,15,0,200.0,0.0,live_wiki_verified_2026-03-14
1,32.0,5.0,16,5,190.0,10.0,live_wiki_verified_2026-03-14
2,34.0,12.0,17,14,180.0,28.0,live_wiki_verified_2026-03-14
3,36.0,19.0,18,23,170.0,46.0,live_wiki_verified_2026-03-14
4,38.0,26.0,19,32,160.0,64.0,live_wiki_verified_2026-03-14
5,40.0,34.0,20,41,150.0,82.0,live_wiki_verified_2026-03-14
6,42.0,43.0,21,50,140.0,100.0,live_wiki_verified_2026-03-14
7,44.0,53.0,22,59,130.0,118.0,live_wiki_verified_2026-03-14
8,46.0,64.0,23,68,120.0,136.0,live_wiki_verified_2026-03-14
9,48.0,76.0,24,77,110.0,154.0,live_wiki_verified_2026-03-14
10,50.0,89.0,25,86,100.0,172.0,live_wiki_verified_2026-03-14
11,52.0,103.0,26,95,90.0,190.0,live_wiki_verified_2026-03-14
12,54.0,118.0,27,104,80.0,208.0,live_wiki_verified_2026-03-14
13,56.0,134.0,28,113,70.0,226.0,live_wiki_verified_2026-03-14
14,58.0,151.0,29,122,60.0,244.0,live_wiki_verified_2026-03-14
15,60.0,169.0,30,131,50.0,262.0,live_wiki_verified_2026-03-14
16,62.0,189.0,31,165,,,live_wiki_verified_2026-03-14
17,64.0,211.0,32,224,,,live_wiki_verified_2026-03-14
18,66.0,236.0,33,308,,,live_wiki_verified_2026-03-14
19,68.0,264.0,34,417,,,live_wiki_verified_2026-03-14
20,70.0,295.0,35,551,,,live_wiki_verified_2026-03-14
21,,,36,710,,,live_wiki_verified_2026-03-14
22,,,37,894,,,live_wiki_verified_2026-03-14
23,,,38,1103,,,live_wiki_verified_2026-03-14
