track,level,value,stone_cost
damage,0,10x,0
quantity,0,1#,0
chance,0,15%,0
damage,1,11x,5
quantity,1,2#,150
chance,1,16%,25
damage,2,13x,11
quantity,2,3#,250
chance,2,17%,35
damage,3,16x,17
quantity,3,4#,400
chance,3,18%,50
damage,4,20x,23
quantity,4,5#,650
chance,4,19%,65
damage,5,26x,29
chance,5,20%,80
damage,6,34x,35
chance,6,21%,100
damage,7,43x,41
chance,7,22%,125
damage,8,55x,47
chance,8,23%,150
damage,9,69x,53
chance,9,24%,175
damage,10,87x,61
chance,10,25%,200
damage,11,108x,71
chance,11,26%,250
damage,12,134x,84
chance,12,27%,325
damage,13,164x,100
chance,13,28%,450
damage,14,200x,120
chance,14,29%,600
damage,15,243x,144
chance,15,30%,800
damage,16,293x,174
chance,16,31%,1200
damage,17,352x,210
chance,17,32%,1600
damage,18,421x,252
chance,18,33%,2000
damage,19,502x,302
chance,19,34%,2500
damage,20,597x,362
chance,20,35%,3000
damage,21,708x,434
chance,21,36%,3600
damage,22,838x,525
chance,22,37%,4300
damage,23,989x,636
chance,23,38%,5100
damage,24,1165x,772
chance,24,39%,6000
damage,25,1370x,938
chance,25,40%,7000
damage,26,1608x,1134
damage,27,1886x,1360
damage,28,2209x,1616
damage,29,2585x,1902
damage,30,3021x,2228
