level_index,duration_s,duration_stones,slow_pct,slow_stones,cooldown_s,cooldown_stones,source_ref
0,5,0,20.0,0.0,180.0,0.0,live_wiki_verified_2026-03-14
1,6,5,25.0,15.0,170.0,10.0,live_wiki_verified_2026-03-14
2,7,14,30.0,25.0,160.0,31.0,live_wiki_verified_2026-03-14
3,8,23,35.0,40.0,150.0,52.0,live_wiki_verified_2026-03-14
4,9,32,40.0,60.0,140.0,73.0,live_wiki_verified_2026-03-14
5,10,41,45.0,120.0,130.0,94.0,live_wiki_verified_2026-03-14
6,11,50,50.0,150.0,120.0,115.0,live_wiki_verified_2026-03-14
7,12,59,55.0,200.0,110.0,136.0,live_wiki_verified_2026-03-14
8,13,68,60.0,300.0,100.0,157.0,live_wiki_verified_2026-03-14
9,14,77,65.0,450.0,90.0,178.0,live_wiki_verified_2026-03-14
10,15,86,70.0,650.0,80.0,199.0,live_wiki_verified_2026-03-14
11,16,95,75.0,900.0,70.0,220.0,live_wiki_verified_2026-03-14
12,17,104,,,60.0,241.0,live_wiki_verified_2026-03-14
13,18,113,,,,,live_wiki_verified_2026-03-14
14,19,122,,,,,live_wiki_verified_2026-03-14
15,20,131,,,,,live_wiki_verified_2026-03-14
16,21,140,,,,,live_wiki_verified_2026-03-14
17,22,149,,,,,live_wiki_verified_2026-03-14
18,23,158,,,,,live_wiki_verified_2026-03-14
19,24,167,,,,,live_wiki_verified_2026-03-14
20,25,176,,,,,live_wiki_verified_2026-03-14
21,26,185,,,,,live_wiki_verified_2026-03-14
22,27,194,,,,,live_wiki_verified_2026-03-14
23,28,203,,,,,live_wiki_verified_2026-03-14
24,29,212,,,,,live_wiki_verified_2026-03-14
25,30,221,,,,,live_wiki_verified_2026-03-14
26,31,230,,,,,live_wiki_verified_2026-03-14
27,32,239,,,,,live_wiki_verified_2026-03-14
28,33,248,,,,,live_wiki_verified_2026-03-14
29,34,257,,,,,live_wiki_verified_2026-03-14
30,35,266,,,,,live_wiki_verified_2026-03-14
31,36,275,,,,,live_wiki_verified_2026-03-14
32,37,284,,,,,live_wiki_verified_2026-03-14
33,38,293,,,,,live_wiki_verified_2026-03-14
34,39,302,,,,,live_wiki_verified_2026-03-14
35,40,311,,,,,live_wiki_verified_2026-03-14
