level,time,cost,value,notes
1,0d 20h 0m,250000,3.00,Extends range beyond tower range
2,1d 4h 21m,560000,6.00,Extends range beyond tower range
3,1d 12h 53m,1100000,9.00,Extends range beyond tower range
4,1d 21h 54m,2800000,12.00,Extends range beyond tower range
5,2d 7h 49m,7750000,15.00,Extends range beyond tower range
6,2d 19h 6m,19540000,18.00,Extends range beyond tower range
7,3d 8h 17m,43580000,21.00,Extends range beyond tower range
8,3d 23h 58m,87410000,24.00,Extends range beyond tower range
9,4d 18h 49m,160910000,27.00,Extends range beyond tower range
10,5d 17h 31m,276620000,30.00,Extends range beyond tower range
11,6d 20h 49m,449930000,33.00,Extends range beyond tower range
12,8d 5h 30m,699340000,36.00,Extends range beyond tower range
13,9d 20h 23m,1050000000,39.00,Extends range beyond tower range
14,11d 18h 21m,1520000000,42.00,Extends range beyond tower range
15,14d 0h 18m,2140000000,45.00,Extends range beyond tower range
16,16d 15h 9m,2950000000,48.00,Extends range beyond tower range
17,19d 15h 54m,3980000000,51.00,Extends range beyond tower range
18,23d 3h 32m,5270000000,54.00,Extends range beyond tower range
19,27d 3h 6m,6880000000,57.00,Extends range beyond tower range
20,31d 15h 40m,8840000000,60.00,Extends range beyond tower range
