level,time,cost,value
1,8d 8h 0m 0s,100000000000,6.5
2,9d 8h 0m 0s,150000000000,8
3,10d 10h 52m 48s,225000000000,9.5
4,11d 16h 59m 8s,337500000000,11
5,13d 2h 42m 13s,506250000000,12.5
6,14d 16h 28m 6s,759380000000,14
7,16d 10h 45m 52s,1140000000000,15.5
8,18d 10h 8m 10s,1710000000000,17
9,20d 15h 11m 33s,2560000000000,18.5
10,23d 2h 36m 56s,3840000000000,20
11,25d 21h 10m 10s,5770000000000,21.5
12,28d 23h 42m 35s,8650000000000,23
13,32d 11h 11m 42s,12970000000000,24.5
14,36d 8h 41m 54s,19460000000000,26
15,40d 17h 25m 20s,29190000000000,27.5
16,45d 14h 42m 47s,43790000000000,29
17,51d 2h 4m 43s,65680000000000,30.5
18,57d 5h 12m 29s,98530000000000,32
19,64d 1h 59m 35s,147790000000000,33.5
20,71d 18h 33m 8s,221680000000000,35
21,80d 9h 15m 31s,332530000000000,36.5
22,90d 0h 46m 11s,498790000000000,38
23,100d 20h 3m 43s,748180000000000,39.5
24,112d 22h 28m 10s,1120000000000000,41
25,126d 11h 43m 33s,1680000000000000,42.5
26,141d 16h 0m 47s,2530000000000000,44
27,158d 16h 0m 52s,3790000000000000,45.5
28,177d 16h 58m 34s,5680000000000000,47
29,199d 0h 46m 25s,8520000000000000,48.5
30,222d 21h 59m,12780000000000000,50
