level,time,cost,value,unit,source_status
1,0d 19h 59m,"500,000",2.5,additive_damage_pct,live_wiki_row_verified
2,1d 4h 21m,"860,000",4.0,additive_damage_pct,live_wiki_row_verified
3,1d 12h 53m,"1,450,000",5.5,additive_damage_pct,live_wiki_row_verified
4,1d 21h 54m,"3,200,000",7.0,additive_damage_pct,live_wiki_row_verified
5,2d 7h 49m,"8,200,000",8.5,additive_damage_pct,live_wiki_row_verified
6,2d 19h 6m,"20,040,000",10.0,additive_damage_pct,live_wiki_row_verified
7,3d 8h 17m,"44,130,000",11.5,additive_damage_pct,live_wiki_row_verified
8,3d 23h 58m,"88,010,000",13.0,additive_damage_pct,live_wiki_row_verified
9,4d 18h 49m,"161,560,000",14.5,additive_damage_pct,live_wiki_row_verified
10,5d 17h 31m,"277,320,000",16.0,additive_damage_pct,live_wiki_row_verified
11,6d 20h 49m,"450,680,000",17.5,additive_damage_pct,live_wiki_row_verified
12,8d 5h 30m,"700,140,000",19.0,additive_damage_pct,live_wiki_row_verified
13,9d 20h 23m,"1,050,000,000",20.5,additive_damage_pct,live_wiki_row_verified
14,11d 18h 21m,"1,520,000,000",22.0,additive_damage_pct,live_wiki_row_verified
15,14d 0h 18m,"2,140,000,000",23.5,additive_damage_pct,live_wiki_row_verified
16,16d 15h 9m,"2,950,000,000",25.0,additive_damage_pct,live_wiki_row_verified
17,19d 15h 54m,"3,980,000,000",26.5,additive_damage_pct,live_wiki_row_verified
18,23d 3h 32m,"5,270,000,000",28.0,additive_damage_pct,live_wiki_row_verified
19,27d 3h 6m,"6,880,000,000",29.5,additive_damage_pct,live_wiki_row_verified
20,31d 15h 40m,"8,840,000,000",31.0,additive_damage_pct,live_wiki_row_verified
21,36d 18h 19m,"11,220,000,000",32.5,additive_damage_pct,live_wiki_row_verified
22,42d 12h 12m,"14,080,000,000",34.0,additive_damage_pct,live_wiki_row_verified
23,48d 22h 27m,"17,480,000,000",35.5,additive_damage_pct,live_wiki_row_verified
24,56d 2h 16m,"21,490,000,000",37.0,additive_damage_pct,live_wiki_row_verified
25,64d 0h 50m,"26,190,000,000",38.5,additive_damage_pct,live_wiki_row_verified
