level,time,cost,value,unit,source_status
1,0d 19h 59m,"250,000",1,seconds,live_wiki_row_verified
2,0d 23h 21m,"285,000",2,seconds,live_wiki_row_verified
3,1d 2h 53m,"496,980",3,seconds,live_wiki_row_verified
4,1d 6h 54m,"1,450,000",4,seconds,live_wiki_row_verified
5,1d 11h 49m,"4,230,000",5,seconds,live_wiki_row_verified
6,1d 18h 6m,"10,500,000",6,seconds,live_wiki_row_verified
7,2d 2h 17m,"22,580,000",7,seconds,live_wiki_row_verified
8,2d 12h 58m,"43,470,000",8,seconds,live_wiki_row_verified
9,3d 2h 49m,"76,880,000",9,seconds,live_wiki_row_verified
10,3d 20h 31m,"127,310,000",10,seconds,live_wiki_row_verified
11,4d 18h 49m,"200,030,000",11,seconds,live_wiki_row_verified
12,5d 22h 30m,"301,120,000",12,seconds,live_wiki_row_verified
13,7d 8h 23m,"437,550,000",13,seconds,live_wiki_row_verified
14,9d 1h 21m,"617,110,000",14,seconds,live_wiki_row_verified
15,11d 2h 18m,"848,510,000",15,seconds,live_wiki_row_verified
16,13d 12h 9m,"1,140,000,000",16,seconds,live_wiki_row_verified
17,16d 7h 54m,"1,510,000,000",17,seconds,live_wiki_row_verified
18,19d 14h 32m,"1,950,000,000",18,seconds,live_wiki_row_verified
19,23d 9h 6m,"2,500,000,000",19,seconds,live_wiki_row_verified
20,27d 16h 40m,"3,150,000,000",20,seconds,live_wiki_row_verified
