level,time,cost,frequency_seconds,status,source_url
1,6d 15h 58m,200000000,19.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
2,7d 0h 20m,200313514,18.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
3,7d 8h 52m,200854054,17.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
4,7d 17h 52m,202551351,16.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
5,8d 3h 48m,207502703,15.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
6,8d 15h 5m,219286486,14.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
7,9d 4h 17m,243329730,13.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
8,9d 19h 57m,287156757,12.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
9,10d 14h 47m,360659459,11.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
10,11d 13h 30m,476367568,10.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
11,12d 16h 48m,649686486,9.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
12,14d 1h 29m,899091892,8.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
13,15d 16h 22m,1243243243,7.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
14,17d 14h 20m,1718918919,6.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
15,19d 20h 16m,2335135135,5.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
16,22d 11h 8m,3145945946,4.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
17,25d 11h 53m,4172972973,3.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
18,28d 23h 32m,5470270270,2.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Spotlight_Missiles
