level,time,cost,value
1,0d 19h 59m,250000,0.04
2,0d 23h 21m,285000,0.08
3,1d 2h 53m,496980,0.12
4,1d 6h 54m,1450000,0.16
5,1d 11h 49m,4230000,0.2
6,1d 18h 6m,10500000,0.24
7,2d 2h 17m,22580000,0.28
8,2d 12h 58m,43470000,0.32
9,3d 2h 49m,76880000,0.36
10,3d 20h 31m,127310000,0.4
11,4d 18h 49m,200030000,0.44
12,5d 22h 30m,301120000,0.48
13,7d 8h 23m,437550000,0.52
14,9d 1h 21m,617110000,0.56
15,11d 2h 18m,848510000,0.6
16,13d 12h 9m,1140000000,0.64
17,16d 7h 54m,1510000000,0.68
18,19d 14h 32m,1950000000,0.72
19,23d 9h 6m,2500000000,0.76
20,27d 16h 40m,3150000000,0.8
21,32d 14h 19m,3930000000,0.84
22,38d 3h 12m,4850000000,0.88
23,44d 8h 27m,5920000000,0.92
24,51d 7h 16m,7170000000,0.96
25,59d 0h 50m,8610000000,1
26,67d 14h 25m,10260000000,1.04
27,77d 1h 17m,12150000000,1.08
28,87d 10h 41m,14290000000,1.12
29,98d 19h 58m,16700000000,1.16
30,111d 6h 28m,19420000000,1.2
