level,unlock_cost_stones,value,ability,description,source_status
1,400,5,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
2,500,10,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
3,610,15,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
4,730,20,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
5,860,25,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
6,1000,30,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
7,1150,35,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
8,1300,40,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
9,1500,45,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
10,1700,50,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
11,1950,55,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
12,2200,60,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
13,2450,65,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
14,2700,70,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
15,3000,75,Black Hole - Consume,Each Black Hole deals X% the current wave HP to every enemy affected at the end of its activation.,live_wiki_row_verified_v70
