level,unlock_cost_stones,value,ability,description,source_status
1,300,0.05,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
2,375,0.1,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
3,475,0.15,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
4,600,0.2,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
5,725,0.25,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
6,925,0.3,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
7,1150,0.35,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
8,1450,0.4,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
9,1800,0.45,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
10,2200,0.5,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
11,2650,0.55,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
12,3150,0.6,Chain Lightning - Smite,Each Chain Lightning Hit has a {Chain Lightning Chance}% chance to do extra damage equal to X% the current wave HP (Max hits: 100/enemy),live_wiki_row_verified_v70
