level,unlock_cost_stones,value,ability,description,source_status
1,400,0.01,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
2,500,0.02,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
3,610,0.03,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
4,730,0.04,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
5,860,0.05,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
6,1000,0.06,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
7,1150,0.07,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
8,1300,0.08,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
9,1500,0.09,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
10,1700,0.1,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
11,1950,0.11,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
12,2200,0.12,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
13,2450,0.13,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
14,2700,0.14,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
15,3000,0.15,Spotlight - Light Range,Spotlight damage bonus is boosted by X times your damage/meter (Note: this depends on your tower range).,live_wiki_row_verified_v70
