level,value_seconds,source
1,1198.0,Wall_Rebuild/Cost
2,1196.0,Wall_Rebuild/Cost
3,1194.0,Wall_Rebuild/Cost
4,1192.0,Wall_Rebuild/Cost
5,1190.0,Wall_Rebuild/Cost
6,1188.0,Wall_Rebuild/Cost
7,1186.0,Wall_Rebuild/Cost
8,1184.0,Wall_Rebuild/Cost
9,1182.0,Wall_Rebuild/Cost
10,1180.0,Wall_Rebuild/Cost
11,1178.0,Wall_Rebuild/Cost
12,1176.0,Wall_Rebuild/Cost
13,1174.0,Wall_Rebuild/Cost
14,1172.0,Wall_Rebuild/Cost
15,1170.0,Wall_Rebuild/Cost
16,1168.0,Wall_Rebuild/Cost
17,1166.0,Wall_Rebuild/Cost
18,1164.0,Wall_Rebuild/Cost
19,1162.0,Wall_Rebuild/Cost
20,1160.0,Wall_Rebuild/Cost
21,1158.0,Wall_Rebuild/Cost
22,1156.0,Wall_Rebuild/Cost
23,1154.0,Wall_Rebuild/Cost
24,1152.0,Wall_Rebuild/Cost
25,1150.0,Wall_Rebuild/Cost
26,1148.0,Wall_Rebuild/Cost
27,1146.0,Wall_Rebuild/Cost
28,1144.0,Wall_Rebuild/Cost
29,1142.0,Wall_Rebuild/Cost
30,1140.0,Wall_Rebuild/Cost
31,1138.0,Wall_Rebuild/Cost
32,1136.0,Wall_Rebuild/Cost
33,1134.0,Wall_Rebuild/Cost
34,1132.0,Wall_Rebuild/Cost
35,1130.0,Wall_Rebuild/Cost
36,1128.0,Wall_Rebuild/Cost
37,1126.0,Wall_Rebuild/Cost
38,1124.0,Wall_Rebuild/Cost
39,1122.0,Wall_Rebuild/Cost
40,1120.0,Wall_Rebuild/Cost
41,1118.0,Wall_Rebuild/Cost
42,1116.0,Wall_Rebuild/Cost
43,1114.0,Wall_Rebuild/Cost
44,1112.0,Wall_Rebuild/Cost
45,1110.0,Wall_Rebuild/Cost
46,1108.0,Wall_Rebuild/Cost
47,1106.0,Wall_Rebuild/Cost
48,1104.0,Wall_Rebuild/Cost
49,1102.0,Wall_Rebuild/Cost
50,1100.0,Wall_Rebuild/Cost
51,1098.0,Wall_Rebuild/Cost
52,1096.0,Wall_Rebuild/Cost
53,1094.0,Wall_Rebuild/Cost
54,1092.0,Wall_Rebuild/Cost
