destination,status,verification_status,kb_alignment_status,verdict,final_value,unit,resolver,contributor_count,issues,level_contributors,unresolved_contributors,semantic_mismatches,ep_compare_status,ep_compare_delta,ep_compare_value,ep_compare_value_type,ep_reference_value,ep_reference_value_type,compare_context,formula_contract,contributor_consumption
state::meta.game_speed_multiplier,resolved,publishable,not_ep_compared,pass,5.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::economy.starting_cash_bonus,resolved,publishable,not_ep_compared,pass,30.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::meta.lab_speed_multiplier,resolved,publishable,not_ep_compared,pass,2.84,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::account_meta.buy_multiplier,resolved,publishable,not_ep_compared,pass,4.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::account_meta.more_round_stats,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.target_priority,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,capability_passthrough,1,"['unresolved_contributor_present', 'semantically_incompatible_contributor_present']",[],['Target Priority'],"[{'source': 'Target Priority', 'value_type': 'raw_text'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::account_meta.card_presets,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::account_meta.workshop_respec,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::account_meta.reroll_daily_mission,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.damage,resolved,publishable,not_ep_compared,pass,23244331190.764286,damage,standard_scalar_stat,9,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'KB now closes damage contributor semantics sufficiently for publish; workshop base scaled by lab/card/module/enhancement/relic/vault multipliers.'}",
state::tower.attack_speed,resolved,publishable,not_ep_compared,pass,64.27804687500002,attacks_per_second,standard_scalar_stat,7,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
