destination,status,verification_status,kb_alignment_status,verdict,final_value,unit,resolver,contributor_count,issues,level_contributors,unresolved_contributors,semantic_mismatches,ep_compare_status,ep_compare_delta,ep_compare_value,ep_compare_value_type,ep_reference_value,ep_reference_value_type,compare_context,formula_contract,contributor_consumption
state::tower.hp,resolved,blocked,not_comparable,fail,1116758532848.2915,,,8,['ep_reference_stage_scope_mismatch'],[],[],[],stage_scope_mismatch,-6433241467151.709,1116758532848.2915,hp,7550000000000.0,scaled_number,"{'compare_preset': 'Farming', 'compare_perk_state': 'on', 'package_value_source_preset': 'Farming', 'package_value_source_state_mode': 'start_of_run', 'ep_stage_context': {'compare_preset': 'Farming', 'compare_perk_state': 'on', 'ep_progression_state': 'max_progression', 'ep_workshop_state': 'max_workshop', 'ep_run_state': 'farming_perks_on', 'package_progression_state': 'current_ids_snapshot', 'package_workshop_state': 'current_ids_workshop', 'package_run_state': 'farming_perks_on', 'unsupported_facets': ['max_progression', 'max_workshop'], 'notes': ['EP export is max progression rather than the current package progression state.', 'EP export assumes max workshop rather than the current package workshop state.'], 'active_cards_by_preset': {'Farming': ['Enemy Balance', 'Extra Defense', 'Health', 'Coins', 'Plasma Cannon', 'Attack Speed', 'Wave Skip', 'Health Regen', 'Wave Accelerator', 'Critical Coin', 'Second Wind', 'Energy Shield', 'Recovery Package Chance', 'Intro Sprint', 'Extra Orb', 'Land Mine Stun', 'Cash', 'Free Upgrades']}, 'active_modules_by_preset': {'Farming': {}}, 'modules_inventory': {}}}","{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Relic health semantics are now explicit in the KB as pct_bonus, matching live-wiki guidance that relic bonuses are additive with similar relics and multiplicative with other bonuses.'}",
state::wall.hp,resolved,publishable,not_ep_compared,pass,528348105.33120006,,,7,[],[],[],[],,,,,,,,"{'formula_class': 'kb_contract_repaired', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Wall Health lab semantics are now explicit in the KB as additive percent points, matching the live-wiki ladder and allowing the destination-specific wall HP formula to publish.'}",
state::wall.regen,resolved,blocked,not_comparable,fail,2108.3999999999996,,,2,['ep_reference_stage_scope_mismatch'],[],[],[],stage_scope_mismatch,-234349999997891.6,2108.3999999999996,hp_per_second,234350000000000.0,scaled_number,"{'compare_preset': 'Farming', 'compare_perk_state': 'on', 'package_value_source_preset': 'Farming', 'package_value_source_state_mode': 'start_of_run', 'ep_stage_context': {'compare_preset': 'Farming', 'compare_perk_state': 'on', 'ep_progression_state': 'max_progression', 'ep_workshop_state': 'max_workshop', 'ep_run_state': 'farming_perks_on', 'package_progression_state': 'current_ids_snapshot', 'package_workshop_state': 'current_ids_workshop', 'package_run_state': 'farming_perks_on', 'unsupported_facets': ['max_progression', 'max_workshop'], 'notes': ['EP export is max progression rather than the current package progression state.', 'EP export assumes max workshop rather than the current package workshop state.'], 'active_cards_by_preset': {'Farming': ['Enemy Balance', 'Extra Defense', 'Health', 'Coins', 'Plasma Cannon', 'Attack Speed', 'Wave Skip', 'Health Regen', 'Wave Accelerator', 'Critical Coin', 'Second Wind', 'Energy Shield', 'Recovery Package Chance', 'Intro Sprint', 'Extra Orb', 'Land Mine Stun', 'Cash', 'Free Upgrades']}, 'active_modules_by_preset': {'Farming': {}}, 'modules_inventory': {}}}","{'formula_class': 'kb_contract_repaired', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Wall regen depends on tower_regen and uses a wiki-verified wall-regen percent ladder already represented in the KB; with tower_regen contract repaired, publish can be re-enabled.'}",
state::wall.fortification_multiplier,resolved,publishable,misaligned,pass,10.4,,,1,[],[],[],[],non_numeric_compare,-1369999999999989.5,10.4,multiplier,1370000000000000.0,scaled_number,"{'compare_preset': 'Farming', 'compare_perk_state': 'auto', 'package_value_source_preset': 'Farming', 'package_value_source_state_mode': 'start_of_run', 'ep_stage_context': {'compare_preset': 'Farming', 'compare_perk_state': 'auto', 'ep_progression_state': 'max_progression', 'ep_workshop_state': 'max_workshop', 'ep_run_state': 'farming_or_milestone_perk_state_unspecified', 'package_progression_state': 'current_ids_snapshot', 'package_workshop_state': 'current_ids_workshop', 'package_run_state': 'farming_perks_on', 'unsupported_facets': ['max_progression', 'max_workshop'], 'notes': ['EP export is max progression rather than the current package progression state.', 'EP export assumes max workshop rather than the current package workshop state.'], 'active_cards_by_preset': {'Farming': ['Enemy Balance', 'Extra Defense', 'Health', 'Coins', 'Plasma Cannon', 'Attack Speed', 'Wave Skip', 'Health Regen', 'Wave Accelerator', 'Critical Coin', 'Second Wind', 'Energy Shield', 'Recovery Package Chance', 'Intro Sprint', 'Extra Orb', 'Land Mine Stun', 'Cash', 'Free Upgrades']}, 'active_modules_by_preset': {'Farming': {}}, 'modules_inventory': {}}}","{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'scaled_number_noncomparable', 'rationale': ''}",
state::tower.defense_pct,resolved,blocked,not_comparable,fail,78.4,,,7,['ep_reference_stage_scope_mismatch'],[],[],[],stage_scope_mismatch,-19.599999999999994,78.4,pct,0.98,number,"{'compare_preset': 'Farming', 'compare_perk_state': 'auto', 'package_value_source_preset': 'Farming', 'package_value_source_state_mode': 'start_of_run', 'ep_stage_context': {'compare_preset': 'Farming', 'compare_perk_state': 'auto', 'ep_progression_state': 'max_progression', 'ep_workshop_state': 'max_workshop', 'ep_run_state': 'farming_or_milestone_perk_state_unspecified', 'package_progression_state': 'current_ids_snapshot', 'package_workshop_state': 'current_ids_workshop', 'package_run_state': 'farming_perks_on', 'unsupported_facets': ['max_progression', 'max_workshop'], 'notes': ['EP export is max progression rather than the current package progression state.', 'EP export assumes max workshop rather than the current package workshop state.'], 'active_cards_by_preset': {'Farming': ['Enemy Balance', 'Extra Defense', 'Health', 'Coins', 'Plasma Cannon', 'Attack Speed', 'Wave Skip', 'Health Regen', 'Wave Accelerator', 'Critical Coin', 'Second Wind', 'Energy Shield', 'Recovery Package Chance', 'Intro Sprint', 'Extra Orb', 'Land Mine Stun', 'Cash', 'Free Upgrades']}, 'active_modules_by_preset': {'Farming': {}}, 'modules_inventory': {}}}","{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normalize_percent_scale', 'rationale': ''}",
state::tower.thorns_damage_pct,resolved,publishable,not_ep_compared,pass,140.0,,,5,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.orb_count,resolved,publishable,not_ep_compared,pass,7.0,,,4,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.orb_speed_rpm,resolved,publishable,not_ep_compared,pass,7.1370000000000005,,,4,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::cards.plasma_cannon.effect_pct,resolved,publishable,not_ep_compared,pass,54.0,,,1,[],[],[],[],,,,,,,,"{'formula_class': 'helper_formula', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Resolved Plasma Cannon card effect percent surface for helper/runtime/optimizer use; sourced from active card base ladder when equipped.'}",
state::module.orbital_augment.electron_count,gated_off,not_resolved,not_ep_compared,fail,,,,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
