destination,status,verification_status,kb_alignment_status,verdict,final_value,unit,resolver,contributor_count,issues,level_contributors,unresolved_contributors,semantic_mismatches,ep_compare_status,ep_compare_delta,ep_compare_value,ep_compare_value_type,ep_reference_value,ep_reference_value_type,compare_context,formula_contract,contributor_consumption
state::tower.damage,resolved,publishable,not_ep_compared,pass,9752127020.58593,,,9,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'KB now closes damage contributor semantics sufficiently for publish; workshop base scaled by lab/card/module/enhancement/relic/vault multipliers.'}",
state::tower.attack_speed,resolved,publishable,not_ep_compared,pass,40.01268852,,,6,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.hp,resolved,publishable,not_ep_compared,pass,6431026591384.203,,,12,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Relic health semantics are now explicit in the KB as pct_bonus, matching live-wiki guidance that relic bonuses are additive with similar relics and multiplicative with other bonuses.'}",
state::tower.regen,resolved,publishable,not_ep_compared,pass,58805607506134.33,,,10,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Relic health-regen semantics are now explicit in the KB as pct_bonus, matching live-wiki guidance that relic bonuses are additive with similar relics and multiplicative with other bonuses.'}",
state::tower.crit_chance_pct,resolved,publishable,not_ep_compared,pass,95.0,,,4,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normalize_percent_scale', 'rationale': 'KB-routed percent surface; compare remains normalized because EP may emit decimal fractions.'}",
state::tower.crit_multiplier,resolved,publishable,not_ep_compared,pass,196.17228,,,6,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.range_m,resolved,publishable,not_ep_compared,pass,69.5,,,2,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.multishot_chance_pct,resolved,publishable,not_ep_compared,pass,50.0,,,2,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normalize_percent_scale', 'rationale': ''}",
state::tower.multishot_targets,resolved,publishable,not_ep_compared,pass,13.0,,,2,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.rapid_fire_chance_pct,resolved,publishable,not_ep_compared,pass,34.4,,,2,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normalize_percent_scale', 'rationale': ''}",
