stat_key,domain,ep_cell,formula,direct_inputs,source,notes
ep_ehp____bd8,eHP,eHP!BD8,='Master Sheet'!AN13,UNRESOLVED('MASTER SHEET'!AN13);UNRESOLVED(AN13);IDS_CANDIDATE(MASTER);IDS_CANDIDATE(SHEET),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp____be12,eHP,eHP!BE12,='Master Sheet'!AY23,UNRESOLVED('MASTER SHEET'!AY23);UNRESOLVED(AY23);IDS_CANDIDATE(MASTER);IDS_CANDIDATE(SHEET),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp____be8,eHP,eHP!BE8,='Master Sheet'!AY15,UNRESOLVED('MASTER SHEET'!AY15);UNRESOLVED(AY15);IDS_CANDIDATE(MASTER);IDS_CANDIDATE(SHEET),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__armor__ag4,eHP,eHP!AG4,='Master Sheet'!AR24,UNRESOLVED('MASTER SHEET'!AR24);UNRESOLVED(AR24);IDS_CANDIDATE(MASTER);IDS_CANDIDATE(SHEET),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__armor__ah4,eHP,eHP!AH4,"=IF($AH$5, MODSTAT_ARMOR('Master Sheet'!AR28, 'Master Sheet'!AR29), 1)",UNRESOLVED('MASTER SHEET'!AR28);UNRESOLVED('MASTER SHEET'!AR29);UNRESOLVED(AR28);UNRESOLVED(AR29);IDS_CANDIDATE(MASTER);IDS_CANDIDATE(MODSTAT_ARMOR);IDS_CANDIDATE(SHEET);ep_ehp__substat_compared_to__ah5,EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__assist_module_bonus_armor__au24,eHP,eHP!AU24,=IDS_LAB_LEVEL(AT24),UNRESOLVED(AT24);IDS_CANDIDATE(IDS_LAB_LEVEL),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__assist_module_substats_armor__au22,eHP,eHP!AU22,=IDS_LAB_LEVEL(AT22),UNRESOLVED(AT22);IDS_CANDIDATE(IDS_LAB_LEVEL),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__assist_module_substats_generator__au23,eHP,eHP!AU23,=IDS_LAB_LEVEL(AT23),UNRESOLVED(AT23);IDS_CANDIDATE(IDS_LAB_LEVEL),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__death_wave_health__af25,eHP,eHP!AF25,"=IDS_UW_OWN(""Death Wave"")",IDS_CANDIDATE(DEATH);IDS_CANDIDATE(IDS_UW_OWN);IDS_CANDIDATE(WAVE),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__death_wave_health__au16,eHP,eHP!AU16,=IDS_LAB_LEVEL(AT16),UNRESOLVED(AT16);IDS_CANDIDATE(IDS_LAB_LEVEL),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__defense__ah19,eHP,eHP!AH19,"=EPH_DEF_PCT(AZ8, AU8, AND(AQ19, AQ26), AO26, AQ27, AN27, BC22, AU22, AG8, AH8, 0, AU13, BD8, BE8)",UNRESOLVED(AG8);UNRESOLVED(AH8);UNRESOLVED(AQ19);UNRESOLVED(BC22);IDS_CANDIDATE(EPH_DEF_PCT);ep_ehp____bd8;ep_ehp____be8;ep_ehp__assist_module_substats_armor__au22;ep_ehp__defense__au8;ep_ehp__defense__az8;ep_ehp__extra_defense__ao26;ep_ehp__extra_defense__aq26;ep_ehp__extra_defense_mastery__an27;ep_ehp__extra_defense_mastery__aq27;ep_ehp__standard_perks_bonus__au13,EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__defense__au8,eHP,eHP!AU8,=IDS_LAB_LEVEL(AT8),UNRESOLVED(AT8);IDS_CANDIDATE(IDS_LAB_LEVEL),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__defense__ay8,eHP,eHP!AY8,=MAX('Master Sheet'!K20:L20),RANGE(K20:L20);UNRESOLVED('MASTER SHEET'!K20);UNRESOLVED(K20);UNRESOLVED(L20);IDS_CANDIDATE(MASTER);IDS_CANDIDATE(SHEET),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__defense__az8,eHP,eHP!AZ8,"=DVT_WS_VALUE(AT8, AY8)",UNRESOLVED(AT8);IDS_CANDIDATE(DVT_WS_VALUE);ep_ehp__defense__ay8,EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__defense_absolute__ah18,eHP,eHP!AH18,"=FORMAT_NUMBER(EPH_DABS(AZ7, AU7, AND(AQ19, AQ28), AO28, BC22, AU22, AG9, AH9, BA7, 0, AU13, BD7, BE7))",UNRESOLVED(AG9);UNRESOLVED(AH9);UNRESOLVED(AQ19);UNRESOLVED(BC22);IDS_CANDIDATE(EPH_DABS);IDS_CANDIDATE(FORMAT_NUMBER);ep_ehp__assist_module_substats_armor__au22;ep_ehp__defense_absolute__au7;ep_ehp__defense_absolute__az7;ep_ehp__defense_absolute__ba7;ep_ehp__defense_absolute__bd7;ep_ehp__defense_absolute__be7;ep_ehp__fortress__ao28;ep_ehp__fortress__aq28;ep_ehp__standard_perks_bonus__au13,EP,Included via back-prop from explicit eHP roots (AH16..AH23).
ep_ehp__defense_absolute__au7,eHP,eHP!AU7,=IDS_LAB_LEVEL(AT7),UNRESOLVED(AT7);IDS_CANDIDATE(IDS_LAB_LEVEL),EP,Included via back-prop from explicit eHP roots (AH16..AH23).
