tier,bc,kind,value,unit,notes
14,orb_resistance,damage_multiplier,0.5,mult,Orbs deal pct of normal
15,orb_resistance,damage_multiplier,0.4,mult,Orbs deal pct of normal
16,orb_resistance,damage_multiplier,0.3,mult,Orbs deal pct of normal
17,orb_resistance,damage_multiplier,0.2,mult,Orbs deal pct of normal
18,orb_resistance,damage_multiplier,0.1,mult,Orbs deal pct of normal
19,orb_resistance,damage_multiplier,0.05,mult,Orbs deal pct of normal
20,orb_resistance,damage_multiplier,0.05,mult,Orbs deal pct of normal
21,orb_resistance,damage_multiplier,0.05,mult,Orbs deal pct of normal
14,death_ray_resistance,damage_multiplier,0.5,mult,Death Ray deals pct of enemy health
15,death_ray_resistance,damage_multiplier,0.4,mult,Death Ray deals pct of enemy health
16,death_ray_resistance,damage_multiplier,0.3,mult,Death Ray deals pct of enemy health
17,death_ray_resistance,damage_multiplier,0.2,mult,Death Ray deals pct of enemy health
18,death_ray_resistance,damage_multiplier,0.1,mult,Death Ray deals pct of enemy health
19,death_ray_resistance,damage_multiplier,0.05,mult,Death Ray deals pct of enemy health
20,death_ray_resistance,damage_multiplier,0.05,mult,Death Ray deals pct of enemy health
21,death_ray_resistance,damage_multiplier,0.05,mult,Death Ray deals pct of enemy health
14,thorns_resistance,damage_multiplier,0.8,mult,Thorns deal pct
15,thorns_resistance,damage_multiplier,0.7,mult,Thorns deal pct
16,thorns_resistance,damage_multiplier,0.6,mult,Thorns deal pct
17,thorns_resistance,damage_multiplier,0.5,mult,Thorns deal pct
18,thorns_resistance,damage_multiplier,0.4,mult,Thorns deal pct
19,thorns_resistance,damage_multiplier,0.3,mult,Thorns deal pct
20,thorns_resistance,damage_multiplier,0.2,mult,Thorns deal pct
21,thorns_resistance,damage_multiplier,0.1,mult,Thorns deal pct
14,plasma_cannon_resistance,damage_multiplier,0.8,mult,Plasma Cannon deals pct
15,plasma_cannon_resistance,damage_multiplier,0.7,mult,Plasma Cannon deals pct
16,plasma_cannon_resistance,damage_multiplier,0.6,mult,Plasma Cannon deals pct
17,plasma_cannon_resistance,damage_multiplier,0.5,mult,Plasma Cannon deals pct
18,plasma_cannon_resistance,damage_multiplier,0.4,mult,Plasma Cannon deals pct
19,plasma_cannon_resistance,damage_multiplier,0.3,mult,Plasma Cannon deals pct
20,plasma_cannon_resistance,damage_multiplier,0.2,mult,Plasma Cannon deals pct
21,plasma_cannon_resistance,damage_multiplier,0.1,mult,Plasma Cannon deals pct
14,enemy_level_skip_reduction,absolute_chance_subtract,0.025,pp,Subtract from EHLS/EALS chance (interpretation: absolute pp)
15,enemy_level_skip_reduction,absolute_chance_subtract,0.05,pp,Subtract from EHLS/EALS chance (interpretation: absolute pp)
16,enemy_level_skip_reduction,absolute_chance_subtract,0.075,pp,Subtract from EHLS/EALS chance (interpretation: absolute pp)
17,enemy_level_skip_reduction,absolute_chance_subtract,0.1,pp,Subtract from EHLS/EALS chance (interpretation: absolute pp)
18,enemy_level_skip_reduction,absolute_chance_subtract,0.125,pp,Subtract from EHLS/EALS chance (interpretation: absolute pp)
19,enemy_level_skip_reduction,absolute_chance_subtract,0.08,pp,Subtract from EHLS/EALS chance (interpretation: absolute pp)
20,enemy_level_skip_reduction,absolute_chance_subtract,0.1,pp,Subtract from EHLS/EALS chance (interpretation: absolute pp)
