level_index,value,cost
0,5.0,0.0
1,6.0,5.0
2,7.0,14.0
3,8.0,23.0
4,9.0,32.0
5,10.0,41.0
6,11.0,50.0
7,12.0,59.0
8,13.0,68.0
9,14.0,77.0
10,15.0,86.0
11,16.0,95.0
12,17.0,104.0
13,18.0,113.0
14,19.0,122.0
15,20.0,131.0
16,21.0,140.0
17,22.0,149.0
18,23.0,158.0
19,24.0,167.0
20,25.0,176.0
21,26.0,185.0
22,27.0,194.0
23,28.0,203.0
24,29.0,212.0
25,30.0,221.0
26,31.0,230.0
27,32.0,239.0
28,33.0,248.0
29,34.0,257.0
30,35.0,266.0
31,36.0,275.0
32,37.0,284.0
33,38.0,293.0
34,39.0,302.0
35,40.0,311.0
36,40.0,Max
