level_index,value,cost
0,30.0,0.0
1,31.0,5.0
2,32.0,16.0
3,33.0,27.0
4,34.0,38.0
5,35.0,49.0
6,36.0,60.0
7,37.0,71.0
8,38.0,82.0
9,39.0,93.0
10,40.0,104.0
11,41.0,115.0
12,42.0,126.0
13,43.0,137.0
14,44.0,148.0
15,45.0,159.0
16,46.0,170.0
17,47.0,181.0
18,48.0,192.0
19,49.0,203.0
20,50.0,214.0
21,51.0,225.0
22,52.0,236.0
23,53.0,247.0
24,54.0,258.0
25,55.0,269.0
26,56.0,280.0
27,57.0,291.0
28,58.0,302.0
29,59.0,313.0
30,60.0,324.0
31,61.0,337.0
32,62.0,352.0
33,63.0,369.0
34,64.0,388.0
35,65.0,409.0
36,66.0,432.0
37,67.0,457.0
38,68.0,484.0
39,69.0,513.0
40,70.0,544.0
41,71.0,577.0
42,72.0,612.0
43,73.0,649.0
44,74.0,688.0
45,75.0,729.0
46,76.0,772.0
47,77.0,817.0
48,78.0,864.0
49,79.0,913.0
50,80.0,964.0
51,81.0,1017.0
52,82.0,1072.0
53,83.0,1129.0
54,84.0,1188.0
55,85.0,1249.0
56,86.0,1312.0
57,87.0,1377.0
58,88.0,1444.0
59,89.0,1513.0
60,90.0,1584.0
61,90.0,Max
