bot,attribute,level,value,cost,is_max,source_path,source_sha256,source_modified_utc,source_sheet
Flame Bot,Damage R.,0,0.2,0,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,1,0.23,100,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,2,0.26,140,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,3,0.29,180,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,4,0.32,220,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,5,0.35,260,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,6,0.38,300,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,7,0.41,340,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,8,0.44,380,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,9,0.47,420,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,10,0.5,460,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,11,0.53,500,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,12,0.56,540,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,13,0.59,580,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,14,0.62,620,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,15,0.65,660,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,16,0.68,700,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,17,0.71,740,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,18,0.74,780,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,19,0.77,820,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,20,0.8,860,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,21,0.83,900,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,22,0.86,940,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,23,0.89,980,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,24,0.92,1020,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,25,0.95,1060,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Damage R.,26,0.95,,true,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,0,75,0,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,1,72,100,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,2,69,140,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,3,66,180,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,4,63,220,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,5,60,260,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,6,57,300,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,7,54,340,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
Flame Bot,Cooldown,8,51,380,false,reference/effective_paths/copy_of_bots_v2_2.xlsx,f329a9751b3cf7c15450e8c0f402bd989c57eea7b858b48940c38ec390b40661,2026-01-28T23:40:52.687558+00:00,DVT_Bot
