card_mastery,stone_cost,description,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,provenance
Damage,750,Increases card stat multiplier,x1.4,x1.8,x2.2,x2.6,x3,x3.4,x3.8,x4.2,x4.6,x5,User prompt: pasted wiki table of card masteries
Attack Speed,750,Increases card stat multiplier,x1.03,x1.06,x1.09,x1.12,x1.15,x1.18,x1.21,x1.24,x1.27,x1.3,User prompt: pasted wiki table of card masteries
Health,750,Increases card stat multiplier,x1.2,x1.4,x1.6,x1.8,x2,x2.2,x2.4,x2.6,x2.8,x3,User prompt: pasted wiki table of card masteries
Health Regen,750,Increases card stat multiplier,x1.4,x1.8,x2.2,x2.6,x3,x3.4,x3.8,x4.2,x4.6,x5,User prompt: pasted wiki table of card masteries
Range,750,Adds damage per meter bonus multiplier,x1.2,x1.4,x1.6,x1.8,x2,x2.2,x2.4,x2.6,x2.8,x3,User prompt: pasted wiki table of card masteries
Cash,500,Adds chance for elites to drop reroll dice,0.4%,0.8%,1.2%,1.6%,2%,2.4%,2.8%,3.2%,3.6%,4%,User prompt: pasted wiki table of card masteries
Coins,1250,Increases card stat multiplier,x1.03,x1.06,x1.09,x1.12,x1.15,x1.18,x1.21,x1.24,x1.27,x1.3,User prompt: pasted wiki table of card masteries
Slow Aura,1000,Reduces enemy attack speed,x1.05,x1.1,x1.15,x1.2,x1.25,x1.3,x1.35,x1.4,x1.45,x1.5,User prompt: pasted wiki table of card masteries
Critical Chance,750,"Bonus to Crit Chance, super Crit chance, and Super Crit Factor",+1%,+2%,+3%,+4%,+5%,+6%,+7%,+8%,+9%,+10%,User prompt: pasted wiki table of card masteries
Enemy Balance,1000,Chance for double elite spawn,6%,12%,18%,24%,30%,36%,42%,48%,54%,60%,User prompt: pasted wiki table of card masteries
Extra Defense,1000,Increases card stat multiplier,+0.7%,+1.4%,+2.1%,+2.8%,+3.5%,+4.2%,+4.9%,+5.6%,+6.3%,+7.0%,User prompt: pasted wiki table of card masteries
Fortress,750,Reduces wall rebuild time,-10s,-20s,-30s,-40s,-50s,-60s,-70s,-80s,-90s,-100s,User prompt: pasted wiki table of card masteries
Free Upgrades,500,Lock a stat from free ups,1,2,3,4,5,6,7,8,9,10,User prompt: pasted wiki table of card masteries
Extra Orb,750,Orb coin bonus,x1.04,x1.08,x1.12,x1.16,x1.2,x1.24,x1.28,x1.32,x1.36,x1.4,User prompt: pasted wiki table of card masteries
Plasma Cannon,1250,Percent of plasma cannon applied to elites,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,User prompt: pasted wiki table of card masteries
Critical Coin,1000,Chance of double coin drop on common enemies,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,User prompt: pasted wiki table of card masteries
Wave Skip,1000,Chance to double wave skip,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,User prompt: pasted wiki table of card masteries
Intro Sprint,1250,Increases how many waves it's active,x1.8,x3.6,x5.4,x7.2,x9,x10.8,x12.6,x14.4,x16.2,x18,User prompt: pasted wiki table of card masteries
Land Mine Stun,1000,Chance stunned enemies will miss attacks,2.5%,5%,7.5%,10%,12.5%,15%,17.5%,20%,22.5%,25%,User prompt: pasted wiki table of card masteries
Package Chance,1000,Packages have a chance to drop common modules,0.4%,0.8%,1.2%,1.6%,2%,2.4%,2.8%,3.2%,3.6%,4%,User prompt: pasted wiki table of card masteries
Death Ray,750,Death ray partially pierces protector shield,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,User prompt: pasted wiki table of card masteries
Energy Net,750,Damage multi to bosses when trapped and 10s after,x2,x4,x6,x8,x10,x12,x14,x16,x18,x20,User prompt: pasted wiki table of card masteries
Super Tower,1000,"35% of super tower bonus is applied to UWs, reduces cooldown",-3s,-6s,-9s,-12s,-15s,-18s,-21s,-24s,-27s,-30s,User prompt: pasted wiki table of card masteries
Second Wind,1000,Increases HP regen for 400 waves when triggered,x1.9,x2.8,x3.7,x4.6,x5.5,x6.4,x7.3,x8.2,x9.1,x10,User prompt: pasted wiki table of card masteries
Demon Mode,1000,Lingering damage multi for 300 waves,x1.5,x2,x2.5,x3,x3.5,x4,x4.5,x5,x5.5,x6,User prompt: pasted wiki table of card masteries
Energy Shield,1000,"Energy shield activates a blast that repels all enemies back by a percent of tower max range and destroys all enemy projectiles. The charge times of Rays are reset.",5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,User prompt: pasted wiki table of card masteries
Wave Accelerator,1000,Increases spawn rate acceleration,110%,120%,130%,140%,150%,160%,170%,180%,190%,200%,User prompt: pasted wiki table of card masteries
Berserker,750,Increases damage cap from berserk to x500 for a limited time after death defy,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,User prompt: pasted wiki table of card masteries
Ultimate Crit,750,Increases UW crit chance,+0.3%,+0.7%,+1.0%,+1.3%,+1.7%,+2.0%,+2.3%,+2.7%,+3.0%,+3.3%,User prompt: pasted wiki table of card masteries
Nuke,750,Reduces enemy attack speed for 300 waves after Nuke use,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,User prompt: pasted wiki table of card masteries
Area of Effect,1000,Increases Area of Effect radius,2.5%,5%,7.5%,10%,12.5%,15%,17.5%,20%,22.5%,25%,User prompt: pasted wiki table of card masteries
