start_level,end_level,cannon_inc,armor_inc,generator_inc,core_inc,source
1,20,0.002,0.002,0.001,0.010,Module Base Stat sheet (user-provided in prompt).
20,30,0.004,0.004,0.001,0.015,Module Base Stat sheet (user-provided in prompt).
30,40,0.006,0.006,0.002,0.020,Module Base Stat sheet (user-provided in prompt).
40,60,0.008,0.008,0.003,0.025,Module Base Stat sheet (user-provided in prompt).
60,80,0.012,0.012,0.003,0.030,Module Base Stat sheet (user-provided in prompt).
80,100,0.030,0.030,0.004,0.050,Module Base Stat sheet (user-provided in prompt).
100,120,0.070,0.070,0.005,0.080,Module Base Stat sheet (user-provided in prompt).
120,140,0.100,0.100,0.006,0.120,Module Base Stat sheet (user-provided in prompt).
140,160,0.120,0.120,0.008,0.150,Module Base Stat sheet (user-provided in prompt).
160,300,0.200,0.200,0.010,0.250,Module Base Stat sheet (user-provided in prompt).
