rarity,cannon_base,armor_base,generator_base,core_base,source
Common,0.012,0.012,0.011,0.040,Module Base Stat sheet (user-provided in prompt).
Rare,0.032,0.032,0.013,0.060,Module Base Stat sheet (user-provided in prompt).
Rare+,0.052,0.052,0.016,0.090,Module Base Stat sheet (user-provided in prompt).
Epic,0.072,0.072,0.019,0.130,Module Base Stat sheet (user-provided in prompt).
Epic+,0.102,0.102,0.023,0.160,Module Base Stat sheet (user-provided in prompt).
Legendary,0.132,0.132,0.026,0.210,Module Base Stat sheet (user-provided in prompt).
Legendary+,0.162,0.162,0.029,0.260,Module Base Stat sheet (user-provided in prompt).
Mythic,0.202,0.202,0.033,0.310,Module Base Stat sheet (user-provided in prompt).
Mythic+,0.252,0.252,0.036,0.360,Module Base Stat sheet (user-provided in prompt).
Ancestral,0.302,0.302,0.041,0.410,Module Base Stat sheet (user-provided in prompt).
Ancestral 1*,0.314,0.314,0.043,0.426,Module Base Stat sheet (user-provided in prompt).
Ancestral 2*,0.326,0.326,0.044,0.443,Module Base Stat sheet (user-provided in prompt).
Ancestral 3*,0.338,0.338,0.046,0.459,Module Base Stat sheet (user-provided in prompt).
Ancestral 4*,0.350,0.350,0.048,0.476,Module Base Stat sheet (user-provided in prompt).
Ancestral 5*,0.362,0.362,0.049,0.492,Module Base Stat sheet (user-provided in prompt).
