wave_actual,bc_key,bc_variant,value_raw,value_num,value_unit,value_kind
0,armored_enemies,,1,1.0,hits,hits_blocked
0,basic_ultimate,boss,0.01,0.01,ratio,probability
0,basic_ultimate,fast,0.01,0.01,ratio,probability
0,basic_ultimate,protector,0.01,0.01,ratio,probability
0,basic_ultimate,range,0.01,0.01,ratio,probability
0,basic_ultimate,tank,0.01,0.01,ratio,probability
0,boss_ultimate,,0.05,0.05,ratio,multiplier
0,death_defy_down,,-0.01,-0.01,ratio,probability_delta
0,death_ray_resistance,,0.9,0.9,ratio,multiplier
0,enemy_attack_speed,,0.05,0.05,ratio,multiplier
0,enemy_level_skip,,-0.01,-0.01,ratio,probability
0,enemy_speed,,0.2,0.2,ratio,multiplier
0,energy_shields_down,,0.01,0.01,ratio,recharge_time_multiplier_or_delta
0,fast_ultimate,,1,1.0,ratio,unknown
0,knockback_resistance,,0.95,0.95,ratio,multiplier
0,more_bosses,,6,6.0,waves,interval_waves
0,more_enemies,,0.01,0.01,ratio,spawn_rate_delta
0,orb_resistance,,0.9,0.9,ratio,multiplier
0,plasma_cannon_resistance,,0.95,0.95,ratio,multiplier
0,protector_s_ultimate,,3s,3.0,s,duration_or_cooldown
0,ranged_ultimate,,0.1s,0.1,s,duration
0,tank_s_ultimate,,3s,3.0,s,duration_or_cooldown
0,thorns_resistance,,0.95,0.95,ratio,multiplier
0,ultimate_weapon_durations,,-1s,-1.0,s,duration_delta
20,armored_enemies,,2,2.0,hits,hits_blocked
20,basic_ultimate,boss,0.01,0.01,ratio,probability
20,basic_ultimate,fast,0.01,0.01,ratio,probability
20,basic_ultimate,protector,0.01,0.01,ratio,probability
20,basic_ultimate,range,0.01,0.01,ratio,probability
20,basic_ultimate,tank,0.01,0.01,ratio,probability
20,boss_ultimate,,0.1,0.1,ratio,multiplier
20,death_defy_down,,-0.02,-0.02,ratio,probability_delta
20,death_ray_resistance,,0.8,0.8,ratio,multiplier
20,enemy_attack_speed,,0.25,0.25,ratio,multiplier
20,enemy_level_skip,,-0.02,-0.02,ratio,probability
20,enemy_speed,,0.4,0.4,ratio,multiplier
20,energy_shields_down,,0.05,0.05,ratio,recharge_time_multiplier_or_delta
20,fast_ultimate,,1,1.0,ratio,unknown
20,knockback_resistance,,0.9,0.9,ratio,multiplier
20,more_bosses,,6,6.0,waves,interval_waves
20,more_enemies,,0.05,0.05,ratio,spawn_rate_delta
20,orb_resistance,,0.75,0.75,ratio,multiplier
20,plasma_cannon_resistance,,0.9,0.9,ratio,multiplier
20,protector_s_ultimate,,15s,15.0,s,duration_or_cooldown
20,ranged_ultimate,,0.1s,0.1,s,duration
20,tank_s_ultimate,,15s,15.0,s,duration_or_cooldown
20,thorns_resistance,,0.9,0.9,ratio,multiplier
20,ultimate_weapon_durations,,-1s,-1.0,s,duration_delta
40,armored_enemies,,3,3.0,hits,hits_blocked
40,basic_ultimate,boss,0.01,0.01,ratio,probability
40,basic_ultimate,fast,0.02,0.02,ratio,probability
40,basic_ultimate,protector,0.01,0.01,ratio,probability
40,basic_ultimate,range,0.01,0.01,ratio,probability
40,basic_ultimate,tank,0.02,0.02,ratio,probability
40,boss_ultimate,,0.15,0.15,ratio,multiplier
40,death_defy_down,,0,0.0,ratio,probability_delta
40,death_ray_resistance,,0.7,0.7,ratio,multiplier
40,enemy_attack_speed,,0.5,0.5,ratio,multiplier
40,enemy_level_skip,,-0.03,-0.03,ratio,probability
40,enemy_speed,,0.6,0.6,ratio,multiplier
40,energy_shields_down,,0.1,0.1,ratio,recharge_time_multiplier_or_delta
40,fast_ultimate,,2,2.0,ratio,unknown
40,knockback_resistance,,0.8,0.8,ratio,multiplier
40,more_bosses,,6,6.0,waves,interval_waves
40,more_enemies,,0.1,0.1,ratio,spawn_rate_delta
40,orb_resistance,,0.5,0.5,ratio,multiplier
40,plasma_cannon_resistance,,0.8,0.8,ratio,multiplier
40,protector_s_ultimate,,30s,30.0,s,duration_or_cooldown
40,ranged_ultimate,,0.2s,0.2,s,duration
40,tank_s_ultimate,,30s,30.0,s,duration_or_cooldown
40,thorns_resistance,,0.8,0.8,ratio,multiplier
40,ultimate_weapon_durations,,-1s,-1.0,s,duration_delta
60,armored_enemies,,5,5.0,hits,hits_blocked
60,basic_ultimate,boss,0.01,0.01,ratio,probability
60,basic_ultimate,fast,0.02,0.02,ratio,probability
60,basic_ultimate,protector,0.01,0.01,ratio,probability
60,basic_ultimate,range,0.01,0.01,ratio,probability
60,basic_ultimate,tank,0.02,0.02,ratio,probability
60,boss_ultimate,,0.2,0.2,ratio,multiplier
60,death_defy_down,,-0.04,-0.04,ratio,probability_delta
60,death_ray_resistance,,0.65,0.65,ratio,multiplier
60,enemy_attack_speed,,0.75,0.75,ratio,multiplier
60,enemy_level_skip,,-0.04,-0.04,ratio,probability
60,enemy_speed,,0.7,0.7,ratio,multiplier
60,energy_shields_down,,0.15,0.15,ratio,recharge_time_multiplier_or_delta
60,fast_ultimate,,2,2.0,ratio,unknown
60,knockback_resistance,,0.75,0.75,ratio,multiplier
60,more_bosses,,6,6.0,waves,interval_waves
60,more_enemies,,0.15,0.15,ratio,spawn_rate_delta
60,orb_resistance,,0.4,0.4,ratio,multiplier
60,plasma_cannon_resistance,,0.75,0.75,ratio,multiplier
60,protector_s_ultimate,,45s,45.0,s,duration_or_cooldown
60,ranged_ultimate,,0.2s,0.2,s,duration
60,tank_s_ultimate,,45s,45.0,s,duration_or_cooldown
60,thorns_resistance,,0.75,0.75,ratio,multiplier
60,ultimate_weapon_durations,,-2s,-2.0,s,duration_delta
80,armored_enemies,,10,10.0,hits,hits_blocked
80,basic_ultimate,boss,0.01,0.01,ratio,probability
80,basic_ultimate,fast,0.03,0.03,ratio,probability
80,basic_ultimate,protector,0.01,0.01,ratio,probability
80,basic_ultimate,range,0.02,0.02,ratio,probability
80,basic_ultimate,tank,0.03,0.03,ratio,probability
80,boss_ultimate,,0.25,0.25,ratio,multiplier
80,death_defy_down,,-0.05,-0.05,ratio,probability_delta
80,death_ray_resistance,,0.6,0.6,ratio,multiplier
80,enemy_attack_speed,,1,1.0,ratio,multiplier
80,enemy_level_skip,,-0.06,-0.06,ratio,probability
80,enemy_speed,,0.8,0.8,ratio,multiplier
80,energy_shields_down,,0.2,0.2,ratio,recharge_time_multiplier_or_delta
80,fast_ultimate,,3,3.0,ratio,unknown
80,knockback_resistance,,0.7,0.7,ratio,multiplier
80,more_bosses,,6,6.0,waves,interval_waves
80,more_enemies,,0.2,0.2,ratio,spawn_rate_delta
80,orb_resistance,,0.3,0.3,ratio,multiplier
80,plasma_cannon_resistance,,0.7,0.7,ratio,multiplier
80,protector_s_ultimate,,60s,60.0,s,duration_or_cooldown
80,ranged_ultimate,,0.3s,0.3,s,duration
80,tank_s_ultimate,,60s,60.0,s,duration_or_cooldown
80,thorns_resistance,,0.7,0.7,ratio,multiplier
80,ultimate_weapon_durations,,-2s,-2.0,s,duration_delta
100,armored_enemies,,15,15.0,hits,hits_blocked
100,basic_ultimate,boss,0.01,0.01,ratio,probability
100,basic_ultimate,fast,0.03,0.03,ratio,probability
100,basic_ultimate,protector,0.01,0.01,ratio,probability
100,basic_ultimate,range,0.02,0.02,ratio,probability
100,basic_ultimate,tank,0.03,0.03,ratio,probability
100,boss_ultimate,,0.3,0.3,ratio,multiplier
100,death_defy_down,,-0.06,-0.06,ratio,probability_delta
100,death_ray_resistance,,0.55,0.55,ratio,multiplier
100,enemy_attack_speed,,1.25,1.25,ratio,multiplier
100,enemy_level_skip,,-0.08,-0.08,ratio,probability
100,enemy_speed,,0.9,0.9,ratio,multiplier
100,energy_shields_down,,0.25,0.25,ratio,recharge_time_multiplier_or_delta
100,fast_ultimate,,3,3.0,ratio,unknown
100,knockback_resistance,,0.65,0.65,ratio,multiplier
100,more_bosses,,6,6.0,waves,interval_waves
