uw_unlock_count,uw_unlock_cost,uw_plus_unlock_count,uw_plus_unlock_cost,provenance
0,0,0,0,Effective Paths UWs v2.1.2: All UWs!B5:E14
1,5,1,500,Effective Paths UWs v2.1.2: All UWs!B5:E14
2,50,2,625,Effective Paths UWs v2.1.2: All UWs!B5:E14
3,150,3,750,Effective Paths UWs v2.1.2: All UWs!B5:E14
4,300,4,975,Effective Paths UWs v2.1.2: All UWs!B5:E14
5,800,5,1250,Effective Paths UWs v2.1.2: All UWs!B5:E14
6,1250,6,1650,Effective Paths UWs v2.1.2: All UWs!B5:E14
7,1750,7,2200,Effective Paths UWs v2.1.2: All UWs!B5:E14
8,2400,8,2900,Effective Paths UWs v2.1.2: All UWs!B5:E14
9,3000,9,3800,Effective Paths UWs v2.1.2: All UWs!B5:E14
