uw_name,level_index,value,cost,provenance,track_name
Chain Lightning,0,0.0,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,1,1.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,2,2.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,3,3.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,4,4.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,5,5.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,6,6.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,7,7.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,8,8.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,9,9.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,10,10.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,11,11.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,12,12.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,13,13.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,14,14.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,15,15.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,16,16.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,17,17.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,18,18.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,19,19.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,20,20.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,21,21.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,22,22.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,23,23.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,24,24.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,25,25.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,26,26.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,27,27.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,28,28.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
Chain Lightning,29,29.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Damage
