tier,wave,wave_damage
12.0,1,14710000.0
12.0,10,61430000.0
12.0,20,177760000.0
12.0,30,379260000.0
12.0,40,670290000.0
12.0,50,1090000000.0
12.0,60,1620000000.0
12.0,70,2270000000.0
12.0,80,3120000000.0
12.0,90,4140000000.0
12.0,100,5490000000.0
12.0,150,15570000000.0
12.0,200,35290000000.0
12.0,250,67590000000.0
12.0,300,116530000000.0
12.0,400,297890000000.0
12.0,500,623070000000.0
12.0,750,2770000000000.0
12.0,1000,9320000000000.0
12.0,1250,24720000000000.0
12.0,1500,58850000000000.0
12.0,2000,280010000000000.0
12.0,2500,1050000000000000.0
12.0,3000,3710000000000000.0
12.0,3500,1.156e+16
12.0,4500,1.0021e+17
12.0,5000,2.6442e+17
12.0,5500,7.215e+17
12.0,6000,1.85e+18
12.0,6500,4.68e+18
12.0,7000,1.193e+19
12.0,7500,2.936e+19
12.0,8000,6.997e+19
12.0,8500,1.7213e+20
12.0,9000,4.0926e+20
12.0,9500,9.395e+20
12.0,10000,2.1800000000000005e+21
13.0,1,147110000.0
13.0,10,631520000.0
13.0,20,1880000000.0
13.0,30,4070000000.000001
13.0,40,7260000000.0
13.0,50,11890000000.0
13.0,60,17780000000.0
13.0,70,25080000000.0
13.0,80,34610000000.0
13.0,90,46150000000.0
13.0,100,61430000000.0
13.0,150,176410000000.0
13.0,200,403260000000.0
13.0,250,777460000000.0
13.0,300,1350000000000.0
13.0,400,3470000000000.0
13.0,500,7310000000000.0
13.0,750,32850000000000.0
13.0,1000,111430000000000.0
13.0,1250,297310000000000.0
13.0,1500,711260000000000.0
13.0,2000,3410000000000000.0
13.0,2500,1.284e+16
13.0,3000,4.561e+16
13.0,3500,1.4288999999999998e+17
13.0,4500,1.25e+18
13.0,5000,3.3e+18
13.0,5500,9.02e+18
13.0,6000,2.316e+19
13.0,6500,5.875e+19
13.0,7000,1.5015e+20
13.0,7500,3.7021e+20
13.0,8000,8.8368e+20
13.0,8500,2.1800000000000005e+21
13.0,9000,5.19e+21
13.0,9500,1.192e+22
13.0,10000,2.775e+22
14.0,1,882660000.0
14.0,10,3900000000.0
14.0,20,11920000000.0
14.0,30,26260000000.0
14.0,40,47450000000.0
14.0,50,78320000000.0
14.0,60,117860000000.0
14.0,70,167190000000.0
14.0,80,231760000000.0
14.0,90,310280000000.0
14.0,100,414490000000.0
14.0,150,1210000000000.0
14.0,200,2780000000000.0
14.0,250,5400000000000.0
14.0,300,9410000000000.0
14.0,400,24450000000000.0
14.0,500,51780000000000.0
14.0,750,235370000000000.0
14.0,1000,804910000000000.0
14.0,1250,2160000000000000.0
14.0,1500,5200000000000000.0
14.0,2000,2.511e+16
14.0,2500,9.514e+16
14.0,3000,3.3959e+17
14.0,3500,1.07e+18
14.0,4500,9.39e+18
14.0,5000,2.491e+19
14.0,5500,6.831e+19
14.0,6000,1.7576e+20
14.0,6500,4.4674e+20
14.0,7000,1.14e+21
14.0,7500,2.83e+21
14.0,8000,6.76e+21
14.0,8500,1.668e+22
14.0,9000,3.978e+22
14.0,9500,9.157e+22
14.0,10000,2.1346e+23
15.0,1,5300000000.0
15.0,10,24210000000.0
15.0,20,76130000000.0
15.0,30,170760000000.0
15.0,40,312260000000.0
15.0,50,520070000000.00006
15.0,60,788060000000.0
15.0,70,1120000000000.0
15.0,80,1570000000000.0
15.0,90,2110000000000.0
15.0,100,2820000000000.0
15.0,150,8330000000000.0
15.0,200,19390000000000.0
15.0,250,37900000000000.0
15.0,300,66420000000000.0
15.0,400,174180000000000.0
15.0,500,371460000000000.0
15.0,750,1710000000000000.0
15.0,1000,5900000000000000.0
15.0,1250,1.593e+16
15.0,1500,3.852e+16
15.0,2000,1.8773e+17
15.0,2500,7.1597e+17
15.0,3000,2.57e+18
15.0,3500,8.119999999999998e+18
15.0,4500,7.186e+19
15.0,5000,1.9127e+20
15.0,5500,5.2603e+20
15.0,6000,1.36e+21
15.0,6500,3.46e+21
15.0,7000,8.869999999999999e+21
15.0,7500,2.196e+22
15.0,8000,5.261e+22
15.0,8500,1.3008e+23
15.0,9000,3.1074e+23
15.0,9500,7.1652e+23
15.0,10000,1.67e+24
16.0,1,44130000000.0
16.0,10,201720000000.0
16.0,20,634390000000.0
16.0,30,1420000000000.0
16.0,40,2600000000000.0
16.0,50,4330000000000.0
16.0,60,6570000000000.0
16.0,70,9370000000000.0
16.0,80,13050000000000.0
16.0,90,17550000000000.0
16.0,100,23530000000000.0
16.0,150,69400000000000.01
16.0,200,161560000000000.0
16.0,250,315820000000000.0
16.0,300,553500000000000.0
16.0,400,1450000000000000.0
16.0,500,3100000000000000.0
16.0,750,1.424e+16
16.0,1000,4.913e+16
16.0,1250,1.3279e+17
16.0,1500,3.21e+17
16.0,2000,1.56e+18
16.0,2500,5.97e+18
