Rarity,Name,Description,Lv. 1,Lv. 2,Lv. 3,Lv. 4,Lv. 5,Lv. 6,Lv. 7
Common,Damage,Increase tower damage by x #,1.50,2.00,2.40,2.80,3.20,3.60,4.00
Common,Attack Speed,Increase tower attack speed by x #,1.25,1.40,1.55,1.70,1.85,2.00,2.15
Common,Health,Increase tower health by x #,1.50,2.00,2.40,2.80,3.20,3.60,4.00
Common,Health Regen,Increase tower health regen by x # / sec,1.40,1.60,1.80,2.00,2.20,2.40,2.60
Common,Range,Increase tower range by x #,1.15,1.20,1.25,1.30,1.35,1.40,1.45
Common,Cash,Increase all cash earned by x #,1.20,1.40,1.60,1.80,2.00,2.20,2.40
Common,Coins,Increase all coins earned by x #,1.15,1.20,1.25,1.30,1.35,1.40,1.45
Common,Slow Aura,All enemies in tower range speed decreased by #%,13%,16%,19%,22%,25%,28%,31%
Common,Critical Chance,Increase critical chance by +#%,5%,6%,7%,8%,9%,10%,11%
Common,Enemy Balance,"Increase enemies spawned each wave, cash earned per kill increased by x #",1.30,1.40,1.50,1.60,1.70,1.80,1.90
Common,Extra Defense,Increase defense percent by +#%,5%,6%,7%,8%,9%,10%,11%
Common,Fortress,Increase defense absolute by x#,1.30,1.45,1.60,1.75,1.90,2.05,2.20
