tournament_league,wave,wave_damage
Champion,1,476900.0
Champion,10,11980000.0
Champion,20,56130000.0
Champion,30,150270000.0
Champion,40,306310000.0
Champion,50,551090000.0
Champion,60,886250000.0
Champion,70,1330000000.0
Champion,80,1930000000.0
Champion,90,2680000000.0
Champion,100,3710000000.0
Champion,150,12990000000.0
Champion,200,32700000000.000004
Champion,250,71910000000.0
Champion,300,132229999999.99998
Champion,400,396140000000.0
Champion,500,948570000000.0
Champion,750,5770000000000.0
Champion,1000,24040000000000.0
Champion,1250,81890000000000.0
Champion,1500,232890000000000.0
Champion,2000,1630000000000000.0
Champion,2500,8820000000000000.0
Champion,3000,4.432e+16
Champion,3500,1.9483e+17
Champion,4500,3.29e+18
Champion,5000,1.203e+19
Champion,5500,4.533e+19
Champion,6000,1.5995e+20
Champion,6500,5.5639e+20
Champion,7000,1.95e+21
Champion,7500,6.56e+21
Champion,8000,2.137e+22
Champion,8500,7.181e+22
Champion,9000,2.3286000000000002e+23
Champion,9500,7.283200000000001e+23
Champion,10000,2.3e+24
Legend,1,1720000000.0
Legend,10,48900000000.0
Legend,20,243980000000.0
Legend,30,675910000000.0
Legend,40,1410000000000.0
Legend,50,2580000000000.0
Legend,60,4210000000000.0
Legend,70,6370000000000.0
Legend,80,9340000000000.0
Legend,90,13120000000000.0
Legend,100,18280000000000.0
Legend,150,65950000000000.0
Legend,200,169450000000000.0
Legend,250,378530000000000.0
Legend,300,705000000000000.0
Legend,400,2150000000000000.0
Legend,500,5240000000000000.0
Legend,750,3.2770000000000004e+16
Legend,1000,1.3938e+17
Legend,1250,4.821e+17
Legend,1500,1.39e+18
Legend,2000,9.93e+18
Legend,2500,5.445e+19
Legend,3000,2.772e+20
Legend,3500,1.23e+21
Legend,4500,2.115e+22
Legend,5000,7.793000000000001e+22
Legend,5500,2.9567000000000003e+23
Legend,6000,1.05e+24
Legend,6500,3.67e+24
Legend,7000,1.291e+25
Legend,7500,4.371e+25
Legend,8000,1.4305e+26
Legend,8500,4.8259e+26
Legend,9000,1.5700000000000002e+27
Legend,9500,4.93e+27
Legend,10000,1.567e+28
